"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"CONTRACTOR","CONSULTANTS OR CONTRACTORS",1.0,"""The Contractor can engage individual consultants or contractors without prior consent from the Company, and they are considered personnel of the Contractor.""",['e7a17066064b2a2003f09ecc3c269f9e'],"adf4ee3fbe9b4d0381044838c4f889c8","10",19,1,20
"CONTRACTOR","CONSULTANT",1.0,"""Contractor and Consultant are mentioned in similar contexts, indicating they may perform related or overlapping roles.""",['074d8bc13c7cff5ee897c3eca3e30693'],"32ee140946e5461f9275db664dc541a5","11",19,2,21
"CONTRACTOR","DELIVERABLES",1.0,"Contractor is responsible for correcting defects in the Deliverables and resubmitting them for acceptance testing.",['f74af18f0023e1c5abc424734f082003'],"c160b9cb27d6408ba6ab20214a2f3f81","12",19,1,20
"CONTRACTOR","NEWLY DEVELOPED IP",3.0,"""The Contractor is responsible for creating the Newly Developed IP during the term of the agreement. Additionally, the Contractor must ensure that the Company can execute and file documents related to the Newly Developed IP. Furthermore, the Contractor is tasked with assigning the Newly Developed IP to the Company.""","['5535b05bf384b9ecfba910725e6518e4' 'ce810a02fd6124b31ca2183c6b7bd4b6'
 'd3be9092a42bc9d927636522ec06973f']","23527cd679ff4d5a988d52e7cd056078","13",19,2,21
"CONTRACTOR","APPROVED THIRD PARTY IP",2.0,"""The Contractor must obtain the Company's prior written consent to incorporate any third-party Intellectual Property into Deliverables. Once this consent is obtained, the third-party Intellectual Property becomes Approved Third Party IP. Additionally, the Contractor must also obtain the Company's prior written consent to incorporate any Approved Third Party IP into Deliverables.""",['a05f1c3b26d22d47e76e16edefe118fc' 'ce810a02fd6124b31ca2183c6b7bd4b6'],"f1c6eed066f24cbdb376b910fce29ed4","14",19,2,21
"CONTRACTOR","CONTRACTOR IP",1.0,"""Contractor must obtain the Company's prior written consent to use its own Intellectual Property in Deliverables, referred to as Contractor IP.""",['a05f1c3b26d22d47e76e16edefe118fc'],"83a6cb03df6b41d8ad6ee5f6fef5f024","15",19,1,20
"CONTRACTOR","BANKRUPTCY CODE",2.0,"""The term Contractor refers to an entity whose IP license is defined as a license of rights to 'intellectual property' under the Bankruptcy Code. Additionally, the Contractor's obligations and warranties are influenced by the definitions and provisions of the Bankruptcy Code. The Bankruptcy Code plays a crucial role in shaping the legal framework within which the Contractor operates, particularly concerning intellectual property rights and related responsibilities.""",['0eb3593149c31596ddef2c535e782a58' '8b2c4dc1f5b8fa2f52a6b505f77bb4ff'],"147c038aef3e4422acbbc5f7938c4ab8","16",19,2,21
"CONTRACTOR","CONTRACTOR'S EMPLOYEES",1.0,"Contractor's employees are bound by internal agreements to ensure compliance with the Contractor's obligations to the Company.",['c642e51ecac0ee0338a50b22719b5345'],"b7702b90c7f24190b864e8c6e64612a5","17",19,1,20
"CONTRACTOR","CONTRACTOR'S AFFILIATES",1.0,"Contractor's affiliates are protected under indemnification clauses in the agreement with the Company.",['c642e51ecac0ee0338a50b22719b5345'],"de6fa24480894518ab3cbcb66f739266","18",19,1,20
"CONTRACTOR","AGREEMENT",2.0,"The Contractor is bound by the terms and conditions outlined in the Agreement when performing services for the Company.",['3c8b240edf207b97a5df6c92e4afd43a' '4c9b33d2d1fe99bd63cd8f99c679281d'],"6fae5ee1a831468aa585a1ea09095998","19",19,3,22
"CONTRACTOR","FRONT END SERVICES",1.0,"The Contractor is responsible for providing Front End services as specified in the Agreement.",['3c8b240edf207b97a5df6c92e4afd43a'],"ef32c4b208d041cc856f6837915dc1b0","20",19,2,21
"CONTRACTOR","SECTION 7",2.0,"""The Contractor is bound by the terms of Section 7, which deals with confidentiality. Additionally, the Contractor's liability is influenced by Section 7 of the Agreement, which addresses gross negligence, willful misconduct, or intentional breaches.""",['6134ff8fdc6cf9ea36d456819fb81850' 'c80544c339c19ece8e5afc2200e98300'],"07b2425216bd4f0aa4e079827cb48ef5","21",19,2,21
"CONTRACTOR","CONFIDENTIAL INFORMATION",1.0,"Contractor is responsible for protecting Confidential Information using at least a reasonable degree of care.",['ec920851838d4a61251a9f4a23de71a6'],"2670deebfa3f4d69bb82c28ab250a209","22",19,2,21
"CONTRACTOR","STATE OF CALIFORNIA",1.0,"""The Agreement, which involves the Contractor, is governed by the laws of the State of California, indicating the legal framework within which the Contractor operates.""",['09038f7353e18c002372101e4a4141be'],"404309e89a5241d6bff42c05a45df206","23",19,2,21
"CONTRACTOR","DEFEND TRADE SECRETS ACT OF 2016",1.0,"Contractor acknowledges the provisions of the Defend Trade Secrets Act of 2016 and is responsible for providing notice to its employees and contractors.",['39e32d155411e5a89ff5707ee1b03c9c'],"b785a9025069417f94950ad231bb1441","24",19,1,20
"COMPANY","STATEMENT OF WORK",3.0,"""The Company can terminate a Statement of Work with prior written notice, affecting the services provided by the Contractor. Additionally, the Company may terminate the Statement of Work if the Deliverables are not accepted after multiple attempts. The Company signs the Statement of Work, which sets forth the services to be performed by the Contractor.""","['cecfda346bdac8e9232a912d20fd8b94' 'ec920851838d4a61251a9f4a23de71a6'
 'f74af18f0023e1c5abc424734f082003']","3b6cd96a27304614850709aba1c9598b","25",14,3,17
"COMPANY","SERVICES",1.0,"Company receives the Services performed by the Contractor as described in the Statement of Work.",['cecfda346bdac8e9232a912d20fd8b94'],"d54956b79dd147f894b67a8b97dcbef0","26",14,2,16
"COMPANY","CONSULTANT",1.0,"""Company may also work with Consultants in a similar capacity to Contractors, overseeing their work and ensuring compliance with policies.""",['074d8bc13c7cff5ee897c3eca3e30693'],"958beecdb5bb4060948415ffd75d2b03","27",14,2,16
"COMPANY","NEWLY DEVELOPED IP",3.0,"""The Company owns the Newly Developed IP created by the Contractor during the term of the agreement. The ownership of the Newly Developed IP is transferred to the Company after it is assigned by the Contractor. Additionally, the Company has the authority to act on behalf of the Contractor regarding the Newly Developed IP.""","['5535b05bf384b9ecfba910725e6518e4' 'ce810a02fd6124b31ca2183c6b7bd4b6'
 'd3be9092a42bc9d927636522ec06973f']","b999ed77e19e4f85b7f1ae79af5c002a","28",14,2,16
"COMPANY","APPROVED THIRD PARTY IP",1.0,"The Company must provide prior written consent for the Contractor to use any Approved Third Party IP in Deliverables.",['ce810a02fd6124b31ca2183c6b7bd4b6'],"48c0c4d72da74ff5bb926fa0c856d1a7","29",14,2,16
"COMPANY","BANKRUPTCY CODE",2.0,"""The Company's license of rights to intellectual property is defined under the Bankruptcy Code, indicating a legal relationship. Additionally, the Company's rights to use the Contractor's intellectual property (IP) are protected under the Bankruptcy Code.""",['0eb3593149c31596ddef2c535e782a58' '8b2c4dc1f5b8fa2f52a6b505f77bb4ff'],"4f3c97517f794ebfb49c4c6315f9cf23","30",14,2,16
"COMPANY","COMPANY'S AFFILIATES",1.0,"Company's affiliates are protected under indemnification clauses in the agreement with the Contractor.",['c642e51ecac0ee0338a50b22719b5345'],"1745a2485a9443bab76587ad650e9be0","31",14,1,15
"COMPANY","AGREEMENT",2.0,"""The Company is a party to the Agreement, which outlines the terms and conditions for services provided by the Contractor. The Company is bound by these terms and conditions as specified in the Agreement.""",['3c8b240edf207b97a5df6c92e4afd43a' '4c9b33d2d1fe99bd63cd8f99c679281d'],"32e6ccab20d94029811127dbbe424c64","32",14,3,17
"COMPANY","API ENDPOINTS",1.0,"The Company provides API endpoints for the Contractor to use in their Front End services.",['3c8b240edf207b97a5df6c92e4afd43a'],"94a964c6992945ebb3833dfdfdc8d655","33",14,1,15
"COMPANY","SECTION 7",2.0,"""The Company is bound by the terms of Section 7, which deals with confidentiality. Additionally, the Company's liability is influenced by Section 7 of the Agreement, which addresses gross negligence, willful misconduct, or intentional breaches.""",['6134ff8fdc6cf9ea36d456819fb81850' 'c80544c339c19ece8e5afc2200e98300'],"1eb829d0ace042089f0746f78729696c","34",14,2,16
"COMPANY","CONFIDENTIAL INFORMATION",1.0,"Company is responsible for protecting Confidential Information using at least a reasonable degree of care.",['ec920851838d4a61251a9f4a23de71a6'],"015e7b58d1a14b44beab3bbc9f912c18","35",14,2,16
"COMPANY","STATE OF CALIFORNIA",1.0,"""The Agreement is governed by the laws of the State of California, indicating the legal framework within which the Company operates.""",['09038f7353e18c002372101e4a4141be'],"26f88ab3e2e04c33a459ad6270ade565","36",14,2,16
"COMPANY","LEGAL",2.0,"""Legal is the designated recipient within the Company for notices related to the agreement. Notices to the Company must be sent to the attention of Legal, indicating a direct communication channel.""",['39e32d155411e5a89ff5707ee1b03c9c' 'bfe652d20977453f943d863e7fac1edc'],"babe97e1d9784cffa1c85abc1e588126","37",14,1,15
"STATEMENT OF WORK","AGREEMENT",2.0,"The Statement of Work is a part of the Agreement that details the specific services to be provided by the Contractor. The terms of the Agreement prevail over those in the Statement of Work unless the latter specifically identifies terms it is superseding.",['4c9b33d2d1fe99bd63cd8f99c679281d' 'bfe652d20977453f943d863e7fac1edc'],"1033a18c45aa4584b2aef6ab96890351","38",3,3,6
"FRONT END SERVICES","BACK END CODE",1.0,"""The Front End services provided by the Contractor are separate from the Back End code, which the Contractor will not have access to.""",['3c8b240edf207b97a5df6c92e4afd43a'],"c9b8ce91fc2945b4907fe35519339cac","39",2,1,3
